"","Incident_Number","lon","lat"
"606",2014008800,-92.3273098,38.9469646
"607",2014008982,-92.3336286,38.8995302
"608",2014008825,-92.3598268,38.9090801
"609",2014009221,-92.3415134,38.935486
"610",2014008893,-92.3411318,38.8982563
"611",2014009051,-92.2960467,38.9488493
"612",2014008975,-92.3411318,38.8982563
"613",2014009212,-92.2916261,38.9332396
"614",2014008913,-92.3411318,38.8982563
"615",2014009167,-92.2999813,38.9824946
"616",2014008958,-92.2916261,38.9332396
"617",2014009404,-92.3713006,38.9539915
"618",2014009226,-92.2961692,38.9529644
"619",2014008896,-92.3411318,38.8982563
"620",2014008964,-92.3411318,38.8982563
"621",2014009075,-93.9761974,39.0086679
"622",2014008853,-92.3670638,38.9416841
"623",2014009015,-92.3529637,38.9456624
"624",2014009085,-93.9763086,39.0086702
"625",2014009009,-92.3105627,38.933127
"626",2014009230,-92.3554344,38.9379853
"627",2014009096,-92.3105627,38.933127
"628",2014009081,-92.3744512,38.9572205
"629",2014009750,-92.2571973,38.9123336
"630",2014009771,-92.3184506,38.9524986
"631",2014009940,-92.3252547,38.9661134
"632",2014009760,-92.3029465,38.9159224
"633",2014009732,-92.3294701,38.9107797
"634",2014010192,-92.2867917,38.9435138
"635",2014009802,-92.2934551,38.9492411
"636",2014010190,-92.3136344,38.9138985
"637",2014009834,-92.3527497,38.9588557
"638",2014010249,-92.3192507,38.9111174
"639",2014009918,-92.3105627,38.933127
"640",2014009793,-92.3181078,38.9842153
"641",2014009821,-92.3351856,38.9175175
"642",2014010164,-92.2983883,38.9120667
"643",2014009581,-92.3454619,38.9674941
"644",2014009577,-92.3072776,38.9676377
"645",2014010025,-92.316096,38.9949027
"646",2014009720,-92.2930145,38.9628275
"647",2014009553,-92.3294701,38.9107797
"648",2014010102,-92.3364546,38.9577221
"649",2014009851,-92.3527497,38.9588557
"650",2014009746,-92.309177,38.9133076
"651",2014009735,-92.3394339,38.9076269
"652",2014010178,-92.3351856,38.9175175
"653",2014009782,-92.3238575,38.9524299
"654",2014009685,-92.3196104,38.9643895
"655",2014009725,-92.2930145,38.9628275
"656",2014009535,-92.3995693,38.9344541
"657",2014009988,-92.370763,38.950277
"658",2014009804,-92.3421488,38.891594
"659",2014010226,-92.3351856,38.9175175
"660",2014009665,-92.3257253,38.9863446
"661",2014010181,-92.3169892,38.9075072
"662",2014009816,-92.3155425,38.9331147
"663",2014009687,-92.2814107,38.967434
"664",2014010174,-92.3136344,38.9138985
"665",2014010201,-92.3386888,38.953286
"666",2014009707,-92.2795856,38.9690837
"667",2014010185,-92.2983883,38.9120667
"668",2014009524,-92.3258985,38.9496286
